id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
137,2020-9-6-23-49-17-20930,3,-60,-16808,5048,-2112,-11860,1787
138,2020-9-6-23-49-17-21121,4,22352,-5152,13468,-1920,-629,1255
139,2020-9-6-23-49-17-21167,1,24440,-12904,-4308,-1488,5396,2326
140,2020-9-6-23-49-17-21367,2,-1540,-16900,360,-1408,-3956,-616
141,2020-9-6-23-49-17-21429,3,-868,-17468,-1464,-2112,-1215,2364
142,2020-9-6-23-49-18-21624,4,1804,10748,9220,-1888,2897,-3102
143,2020-9-6-23-49-18-21665,1,25720,-436,-4472,-1472,780,-4615
144,2020-9-6-23-49-18-21871,2,104,-11116,-4800,-1424,-10537,-2565
145,2020-9-6-23-49-18-21949,3,-5240,-16148,3680,-2112,4331,200
146,2020-9-6-23-49-18-22126,4,21948,-21964,8252,-1904,19568,-23591
147,2020-9-6-23-49-18-22166,1,13788,-8936,-4880,-1488,-24483,26806
148,2020-9-6-23-49-18-22373,2,8216,-18480,10076,-1424,1314,6843
149,2020-9-6-23-49-18-22435,3,1024,-15840,-2980,-2112,3030,-2270
150,2020-9-6-23-49-19-22627,4,23540,-2116,15580,-1920,-3279,-5518
151,2020-9-6-23-49-19-22668,1,23264,3744,-16212,-1504,-460,690
152,2020-9-6-23-49-19-22873,2,-2460,-16176,804,-1440,-2202,1036
153,2020-9-6-23-49-19-22937,3,-5080,-17088,636,-2112,6609,-1604
154,2020-9-6-23-49-19-23129,4,-3012,5560,-3196,-1904,-18113,-23963
155,2020-9-6-23-49-19-23170,1,-1528,5472,4080,-1488,27343,-32768
156,2020-9-6-23-49-19-23376,2,-4776,-16580,-1840,-1424,6945,-1196
157,2020-9-6-23-49-19-23438,3,-2316,-15160,1676,-2112,-15387,-13825
158,2020-9-6-23-49-20-23632,4,4344,-9916,17920,-1920,-107,3801
159,2020-9-6-23-49-20-23672,1,4768,-3280,-29860,-1456,10528,-32768
160,2020-9-6-23-49-20-23877,2,552,-17572,408,-1408,-5211,36
161,2020-9-6-23-49-20-23940,3,-1292,-17172,-4004,-2080,-2883,-446
162,2020-9-6-23-49-20-24132,4,928,6884,11316,-1920,-5043,5520
