id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
76,2020-9-6-1-15-1-14138,1,6608,-12336,-5500,-3424,10777,-12708
77,2020-9-6-1-15-1-14155,2,-652,-17248,-796,-3504,-878,-3997
78,2020-9-6-1-15-1-14291,4,2896,-14168,13500,-3760,4399,-14575
79,2020-9-6-1-15-2-14339,3,1616,-16684,-4536,-4112,-9462,-21689
80,2020-9-6-1-15-2-14638,1,14444,-9368,-7060,-3408,113,340
81,2020-9-6-1-15-2-14654,2,1696,-18496,-1176,-3504,-5686,4479
82,2020-9-6-1-15-2-14742,4,4348,-15732,6804,-3744,-2297,-3544
83,2020-9-6-1-15-2-14834,3,-1644,-17392,-280,-4096,-322,-5309
84,2020-9-6-1-15-2-15150,1,11256,-7780,-12288,-3424,3581,-4435
85,2020-9-6-1-15-2-15165,2,-3068,-16408,-2052,-3488,11402,-14836
86,2020-9-6-1-15-2-15244,4,3808,-16280,5836,-3792,2197,-2496
87,2020-9-6-1-15-3-15335,3,-2776,-18020,660,-4128,7716,-256
88,2020-9-6-1-15-3-15651,1,8876,-14456,-8284,-3440,-6222,2970
89,2020-9-6-1-15-3-15662,2,-3032,-17108,900,-3488,-5729,1660
90,2020-9-6-1-15-3-15745,4,8332,-16400,10752,-3744,-4237,5049
91,2020-9-6-1-15-3-15838,3,-5548,-11468,1064,-4128,-18701,16631
92,2020-9-6-1-15-3-16145,1,12752,-13104,-9128,-3392,-6445,1829
93,2020-9-6-1-15-3-16161,2,-3948,-17368,-3396,-3504,-6652,6466
94,2020-9-6-1-15-3-16247,4,9264,-14448,7600,-3760,-5401,2138
95,2020-9-6-1-15-4-16339,3,-1476,-16352,-4976,-4128,2364,-1033
96,2020-9-6-1-15-4-16647,1,6064,-668,-22048,-3424,8882,-4867
97,2020-9-6-1-15-4-16664,2,656,-29172,-5196,-3504,32767,-1364
98,2020-9-6-1-15-4-16751,4,10984,-13556,4036,-3808,-794,1739
99,2020-9-6-1-15-4-16843,3,-2728,-16740,2624,-4080,8818,-577
100,2020-9-6-1-15-4-17148,1,11044,-13068,-5836,-3440,-8344,14407
101,2020-9-6-1-15-4-17166,2,-2752,-16576,636,-3504,-491,2765
102,2020-9-6-1-15-4-17251,4,2080,-13704,5752,-3792,-772,5005
103,2020-9-6-1-15-5-17347,3,-2092,-15784,436,-4144,-22842,7150
104,2020-9-6-1-15-5-17651,1,13912,-12672,-2848,-3456,-4275,8963
105,2020-9-6-1-15-5-17668,2,-4080,-17400,-2820,-3504,-8163,3112
106,2020-9-6-1-15-5-17755,4,5668,-17056,8644,-3808,-4204,819
107,2020-9-6-1-15-5-17847,3,-804,-17032,-1976,-4096,-1525,-3661
108,2020-9-6-1-15-5-18162,1,14684,-7912,-3200,-3408,-364,-11277
109,2020-9-6-1-15-5-18173,2,-1640,-21452,-1264,-3472,26476,-6757
110,2020-9-6-1-15-5-18256,4,5996,-15104,3792,-3824,109,2395
111,2020-9-6-1-15-6-18347,3,-2284,-16260,-2176,-4096,6153,1424
112,2020-9-6-1-15-6-18656,1,14412,-11644,-9912,-3456,-217,2927
113,2020-9-6-1-15-6-18670,2,1424,-14032,-688,-3488,-6088,575
114,2020-9-6-1-15-6-18756,4,1668,-9424,4208,-3824,-2081,4113
115,2020-9-6-1-15-6-18851,3,-4172,-9828,2128,-4128,5262,12573
116,2020-9-6-1-15-6-19156,1,12520,-9708,-6672,-3440,-9617,6803
117,2020-9-6-1-15-6-19173,2,-4008,-16428,956,-3520,-2306,7167
118,2020-9-6-1-15-6-19263,4,7776,-13552,7152,-3824,-3321,9292
119,2020-9-6-1-15-7-19351,3,-1496,-18812,9476,-4096,7847,13841
120,2020-9-6-1-15-7-19659,1,8828,-10724,-10340,-3456,-2603,-3612
121,2020-9-6-1-15-7-19677,2,6204,-12200,3904,-3504,18488,-3949
122,2020-9-6-1-15-7-19761,4,6644,-10736,1788,-3856,-58,-5145
123,2020-9-6-1-15-7-19855,3,-2440,-16656,-416,-4128,524,-3594
124,2020-9-6-1-15-7-20162,1,3072,-15028,-8608,-3472,4300,-12616
