id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
1038,2020-9-6-1-25-8-134250,4,3740,916,7108,-3872,1840,3743
1039,2020-9-6-1-25-8-134338,3,-4832,-12720,7788,-3920,-236,-40
1040,2020-9-6-1-25-8-134649,1,16388,4084,-5580,-3248,-661,-177
1041,2020-9-6-1-25-8-134654,2,-7512,-13508,-5720,-3472,-405,177
1042,2020-9-6-1-25-8-134756,4,6096,1832,9756,-3856,-6879,-1525
1043,2020-9-6-1-25-8-134840,3,-4692,-12544,7980,-3872,-281,-226
1044,2020-9-6-1-25-9-135153,1,16520,4060,-4928,-3264,-863,-63
1045,2020-9-6-1-25-9-135159,2,-7236,-13420,-6036,-3472,-458,63
1046,2020-9-6-1-25-9-135254,4,10436,-992,29484,-3824,5335,-7338
1047,2020-9-6-1-25-9-135343,3,-4792,-12496,8092,-3920,-300,-121
1048,2020-9-6-1-25-9-135654,1,16444,3364,-5272,-3296,-770,120
1049,2020-9-6-1-25-9-135660,2,-7640,-13100,-5972,-3488,-345,54
1050,2020-9-6-1-25-9-135759,4,2572,1848,6120,-3840,1467,3017
1051,2020-9-6-1-25-9-135845,3,-4664,-12724,7868,-3920,-270,-49
1052,2020-9-6-1-25-10-136157,1,16248,4684,-5840,-3312,-526,-234
1053,2020-9-6-1-25-10-136162,2,-7608,-13456,-5784,-3456,-403,-27
1054,2020-9-6-1-25-10-136258,4,5628,2596,7420,-3824,-8415,1458
1055,2020-9-6-1-25-10-136349,3,-4872,-12732,7876,-3904,-255,-123
1056,2020-9-6-1-25-10-136657,1,16468,3952,-5004,-3264,-808,-1
1057,2020-9-6-1-25-10-136662,2,-7304,-13456,-5944,-3472,-487,83
1058,2020-9-6-1-25-10-136762,4,10340,1924,18608,-3856,5053,-6854
1059,2020-9-6-1-25-10-136848,3,-4772,-12500,7892,-3920,-262,-201
1060,2020-9-6-1-25-11-137159,1,16444,3696,-5452,-3296,-605,-48
1061,2020-9-6-1-25-11-137166,2,-7248,-13348,-6092,-3488,179,416
1062,2020-9-6-1-25-11-137262,4,6512,2000,10028,-3856,6741,-6885
1063,2020-9-6-1-25-11-137351,3,-4932,-12664,7984,-3904,-229,-479
1064,2020-9-6-1-25-11-137663,1,16328,3820,-5644,-3264,-583,-34
