id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
604,2020-9-7-0-5-46-104587,3,-2072,-15380,3584,-2080,-321,-37
605,2020-9-7-0-5-46-104840,1,7276,11536,-12508,-1392,-1582,-27423
606,2020-9-7-0-5-46-105020,2,-8020,-13404,-4452,-1232,-333,113
607,2020-9-7-0-5-46-105088,3,-1992,-15452,3532,-2080,-308,-47
608,2020-9-7-0-5-46-105329,1,-6456,11640,-12080,-1376,1102,-13141
609,2020-9-7-0-5-47-105524,2,-8000,-13484,-4404,-1184,-396,158
610,2020-9-7-0-5-47-105589,3,-2116,-15584,3584,-2080,-282,-130
611,2020-9-7-0-5-47-105829,1,-7184,12092,-11732,-1376,28,1450
612,2020-9-7-0-5-47-106024,2,-7972,-13436,-4524,-1232,-397,88
613,2020-9-7-0-5-47-106093,3,-2128,-15572,3512,-2096,-233,-31
614,2020-9-7-0-5-47-106331,1,-6400,11928,-9244,-1360,-1665,-3869
615,2020-9-7-0-5-48-106528,2,-8084,-13332,-4632,-1200,-329,181
616,2020-9-7-0-5-48-106594,3,-1984,-15564,3472,-2080,-319,-79
617,2020-9-7-0-5-48-106834,1,-6456,11972,-10208,-1376,-552,5754
618,2020-9-7-0-5-48-107029,2,-8048,-13356,-4552,-1200,-361,202
619,2020-9-7-0-5-48-107096,3,-2020,-15460,3444,-2096,-252,-91
620,2020-9-7-0-5-48-107335,1,-808,10860,-12776,-1328,-342,1046
621,2020-9-7-0-5-49-107531,2,-8084,-13332,-4500,-1216,-251,218
622,2020-9-7-0-5-49-107597,3,-2140,-15496,3644,-2064,-206,13
623,2020-9-7-0-5-49-107839,1,-792,10820,-15396,-1392,885,3914
624,2020-9-7-0-5-49-108033,2,-8068,-13420,-4480,-1232,-384,126
625,2020-9-7-0-5-49-108100,3,-2064,-15356,3500,-2096,-282,-44
626,2020-9-7-0-5-49-108340,1,3520,11016,-14716,-1376,-1106,5690
627,2020-9-7-0-5-50-108534,2,-7480,-14640,-4372,-1200,-461,948
628,2020-9-7-0-5-50-108604,3,-2084,-15424,3556,-2048,-218,-19
629,2020-9-7-0-5-50-108843,1,6280,9380,-14860,-1392,-224,-1331
630,2020-9-7-0-5-50-109035,2,-7512,-13704,-4368,-1184,655,593
631,2020-9-7-0-5-50-109105,3,-1780,-15520,3880,-2080,752,357
632,2020-9-7-0-5-50-109343,1,5108,8156,-13396,-1376,-1515,518
633,2020-9-7-0-5-51-109537,2,-7940,-13572,-3284,-1168,1200,495
634,2020-9-7-0-5-51-109605,3,-972,-14916,5252,-2048,782,348
635,2020-9-7-0-5-51-109847,1,4648,10812,-14184,-1360,-1677,421
636,2020-9-7-0-5-51-110039,2,-9048,-13228,-2664,-1184,-174,232
637,2020-9-7-0-5-51-110108,3,-896,-14724,5696,-2080,-139,-102
638,2020-9-7-0-5-51-110348,1,4332,10908,-14060,-1392,-816,-993
639,2020-9-7-0-5-52-110542,2,-9032,-13044,-2784,-1216,-393,132
640,2020-9-7-0-5-52-110611,3,-736,-14864,5616,-2064,-281,-8
641,2020-9-7-0-5-52-110849,1,4892,10932,-13944,-1408,-514,569
642,2020-9-7-0-5-52-111044,2,-9084,-13220,-2724,-1232,-391,146
643,2020-9-7-0-5-52-111110,3,-808,-14848,5688,-2096,-221,-36
644,2020-9-7-0-5-52-111350,1,5036,10852,-13496,-1360,-493,613
645,2020-9-7-0-5-53-111545,2,-9140,-13172,-2604,-1200,-425,118
646,2020-9-7-0-5-53-111614,3,-900,-15096,5360,-2064,-266,60
647,2020-9-7-0-5-53-111852,1,5892,10880,-14292,-1408,-584,1744
648,2020-9-7-0-5-53-112047,2,-9020,-13144,-2676,-1200,-333,236
649,2020-9-7-0-5-53-112115,3,-360,-14848,5448,-2048,-1316,-1141
650,2020-9-7-0-5-53-112354,1,5684,9964,-14476,-1408,464,-490
651,2020-9-7-0-5-54-112551,2,-8808,-13188,-2988,-1184,-1082,-91
652,2020-9-7-0-5-54-112617,3,-1436,-15244,4820,-2096,-642,-137
653,2020-9-7-0-5-54-112858,1,4572,8764,-15640,-1392,-885,1007
654,2020-9-7-0-5-54-113051,2,-8716,-13316,-3124,-1216,-396,120
655,2020-9-7-0-5-54-113119,3,-1416,-15164,4860,-2096,-245,-16
656,2020-9-7-0-5-54-113361,1,4936,8640,-15480,-1360,-709,-6505
657,2020-9-7-0-5-55-113553,2,-8700,-13288,-3264,-1184,-382,83
658,2020-9-7-0-5-55-113624,3,-1344,-15068,4908,-2064,-160,5
659,2020-9-7-0-5-55-113860,1,4820,9064,-15292,-1360,-1406,872
660,2020-9-7-0-5-55-114057,2,-8728,-13296,-3372,-1216,-601,35
661,2020-9-7-0-5-55-114124,3,-1608,-15172,4564,-2048,-417,-78
662,2020-9-7-0-5-55-114363,1,4028,8584,-15628,-1360,384,-375
663,2020-9-7-0-5-56-114557,2,-8704,-13264,-3220,-1200,-683,36
664,2020-9-7-0-5-56-114627,3,-1720,-15264,4428,-2080,-457,-157
665,2020-9-7-0-5-56-114866,1,4924,5996,-17500,-1376,220,326
666,2020-9-7-0-5-56-115065,2,-8644,-13328,-3252,-1168,-566,145
667,2020-9-7-0-5-56-115126,3,-1708,-15316,4444,-2064,-390,-201
668,2020-9-7-0-5-56-115367,1,2752,8096,-15772,-1376,-1338,-340
669,2020-9-7-0-5-57-115567,2,-8504,-13184,-3584,-1216,-598,72
670,2020-9-7-0-5-57-115629,3,-1748,-15288,4088,-2064,-350,-100
671,2020-9-7-0-5-57-115869,1,7172,8352,-15416,-1360,-1788,4818
672,2020-9-7-0-5-57-116062,2,-8556,-13332,-3620,-1200,-485,91
673,2020-9-7-0-5-57-116131,3,-1732,-15292,4236,-2064,-236,87
674,2020-9-7-0-5-57-116372,1,7824,8400,-13600,-1376,135,-11421
675,2020-9-7-0-5-58-116566,2,-8568,-13392,-3588,-1184,-430,153
676,2020-9-7-0-5-58-116632,3,-1656,-15340,4452,-2064,-269,-14
677,2020-9-7-0-5-58-116874,1,5016,8392,-16672,-1376,-1491,-1319
678,2020-9-7-0-5-58-117067,2,-8412,-13364,-3620,-1184,-401,120
679,2020-9-7-0-5-58-117136,3,-1688,-15344,4212,-2032,-270,-45
680,2020-9-7-0-5-58-117373,1,4384,8176,-16512,-1376,-733,639
681,2020-9-7-0-5-59-117569,2,-8532,-13344,-3484,-1200,-387,115
682,2020-9-7-0-5-59-117638,3,-1628,-15288,4296,-2048,-247,-106
683,2020-9-7-0-5-59-117877,1,6552,8132,-14736,-1392,-296,1234
684,2020-9-7-0-5-59-118075,2,-8528,-13308,-3556,-1200,-397,116
685,2020-9-7-0-5-59-118138,3,-1620,-15268,4344,-2080,-275,-94
686,2020-9-7-0-5-59-118380,1,6864,8004,-15428,-1360,914,-1962
687,2020-9-7-0-6-0-118574,2,-8572,-13364,-3540,-1216,-307,148
688,2020-9-7-0-6-0-118642,3,-2124,-15704,3388,-2032,-737,1750
689,2020-9-7-0-6-0-118880,1,8392,5896,-14652,-1392,1973,10256
690,2020-9-7-0-6-0-119076,2,-8552,-13388,-3700,-1200,-527,67
691,2020-9-7-0-6-0-119144,3,-1708,-15324,4212,-2032,-290,-102
692,2020-9-7-0-6-1-119384,1,5944,4920,-16788,-1344,-344,-1458
693,2020-9-7-0-6-1-119576,2,-8664,-13392,-3544,-1184,-322,47
694,2020-9-7-0-6-1-119646,3,-1796,-15348,4228,-2048,-306,-172
695,2020-9-7-0-6-1-119891,1,7136,5492,-17584,-1376,-297,1567
696,2020-9-7-0-6-1-120079,2,-8440,-13340,-3892,-1184,-907,24
697,2020-9-7-0-6-1-120149,3,-1772,-15436,4212,-2080,-837,-501
698,2020-9-7-0-6-2-120385,1,3944,5324,-15908,-1360,-1378,-3834
699,2020-9-7-0-6-2-120580,2,-8296,-13392,-4088,-1200,-772,-38
700,2020-9-7-0-6-2-120647,3,-2096,-15456,3540,-2048,-381,-77
701,2020-9-7-0-6-2-120894,1,6880,6668,-27548,-1360,-1597,-8773
702,2020-9-7-0-6-2-121083,2,-8344,-13304,-4256,-1200,-383,132
703,2020-9-7-0-6-2-121153,3,-2164,-15344,3856,-2080,-349,-96
704,2020-9-7-0-6-3-121390,1,-1476,7020,-16872,-1392,-4019,-3472
705,2020-9-7-0-6-3-121585,2,-8028,-13960,-4196,-1200,-602,198
706,2020-9-7-0-6-3-121653,3,-2012,-15380,3608,-2080,-159,48
707,2020-9-7-0-6-3-121892,1,284,8292,-14488,-1392,-3894,5699
708,2020-9-7-0-6-3-122088,2,-8340,-13440,-3780,-1232,-325,134
709,2020-9-7-0-6-3-122154,3,-1728,-15368,3988,-2048,-502,-174
710,2020-9-7-0-6-4-122397,1,852,9920,-15988,-1392,-1338,1726
711,2020-9-7-0-6-4-122588,2,-8364,-13508,-4004,-1184,-1346,-128
712,2020-9-7-0-6-4-122658,3,-2164,-15588,3696,-2080,-1300,-608
713,2020-9-7-0-6-4-122897,1,120,10556,-14928,-1392,1034,-2154
714,2020-9-7-0-6-4-123090,2,-7784,-13564,-4804,-1168,-583,171
715,2020-9-7-0-6-4-123158,3,-2608,-15612,2952,-2064,-254,-75
716,2020-9-7-0-6-5-123398,1,1032,8512,-17040,-1360,-169,446
717,2020-9-7-0-6-5-123592,2,-7536,-13784,-4796,-1184,-452,143
718,2020-9-7-0-6-5-123659,3,-2512,-15504,3120,-2048,-309,-75
719,2020-9-7-0-6-5-123901,1,1788,8492,-16208,-1392,101,-276
720,2020-9-7-0-6-5-124095,2,-7668,-13676,-4868,-1184,-312,297
721,2020-9-7-0-6-5-124162,3,-2584,-15604,3252,-2064,-248,-84
722,2020-9-7-0-6-6-124401,1,952,8116,-16152,-1392,-717,1502
723,2020-9-7-0-6-6-124596,2,-7628,-13656,-4708,-1184,-373,212
724,2020-9-7-0-6-6-124665,3,-2520,-15588,3196,-2080,-289,-99
725,2020-9-7-0-6-6-124905,1,1876,8316,-13924,-1392,-691,4750
726,2020-9-7-0-6-6-125099,2,-7524,-13560,-4772,-1200,-422,179
727,2020-9-7-0-6-6-125166,3,-2592,-15564,3032,-2048,-268,-74
728,2020-9-7-0-6-7-125405,1,3516,8148,-16296,-1424,-1429,1460
729,2020-9-7-0-6-7-125602,2,-7528,-13608,-4720,-1248,-361,162
730,2020-9-7-0-6-7-125668,3,-2652,-15436,3268,-2080,-244,-57
731,2020-9-7-0-6-7-125907,1,3220,8596,-14952,-1344,-1045,1536
732,2020-9-7-0-6-7-125915,4,15440,-1980,-728,-2672,2310,-1938
733,2020-9-7-0-6-7-126102,2,-7648,-13656,-4608,-1248,-366,100
734,2020-9-7-0-6-7-126171,3,-2492,-15536,3008,-2032,-328,-99
735,2020-9-7-0-6-8-126410,1,2576,10712,-15108,-1408,-4538,1809
736,2020-9-7-0-6-8-126415,4,17168,-3932,3776,-2608,-14886,855
737,2020-9-7-0-6-8-126605,2,-7428,-13612,-4596,-1200,131,419
