id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
738,2020-9-6-0-54-42-96773,2,-12816,-8264,-4420,-3344,-171,76
739,2020-9-6-0-54-42-96820,1,5272,13460,-10680,-3008,-740,-778
740,2020-9-6-0-54-42-96906,3,-6248,-9492,10352,-3872,-411,-24
741,2020-9-6-0-54-42-97166,4,15660,1176,6172,-3600,-64,-981
742,2020-9-6-0-54-42-97275,2,-12868,-8344,-4372,-3360,-307,140
743,2020-9-6-0-54-42-97323,1,5192,13336,-10432,-3024,-632,-346
744,2020-9-6-0-54-43-97409,3,-6192,-9780,10316,-3872,-274,-340
745,2020-9-6-0-54-43-97666,4,15816,1784,6152,-3584,-718,-442
746,2020-9-6-0-54-43-97774,2,-12964,-8296,-4288,-3360,-454,47
747,2020-9-6-0-54-43-97825,1,5336,13508,-10140,-2976,-865,-267
748,2020-9-6-0-54-43-97993,3,-6168,-9476,10028,-3904,-335,103
749,2020-9-6-0-54-43-98167,4,15800,912,4488,-3616,-2102,6131
750,2020-9-6-0-54-43-98277,2,-12696,-8068,-4084,-3392,-283,418
751,2020-9-6-0-54-43-98330,1,5268,13376,-10556,-2976,-541,-11
752,2020-9-6-0-54-44-98412,3,-6028,-9812,10100,-3888,-364,-132
753,2020-9-6-0-54-44-98669,4,13780,2532,9640,-3616,74,-96
754,2020-9-6-0-54-44-98808,2,-12896,-8340,-4196,-3376,-261,196
755,2020-9-6-0-54-44-98829,1,6984,13024,-11008,-2976,-107,5583
756,2020-9-6-0-54-44-98912,3,-6796,-9484,9856,-3872,-354,395
757,2020-9-6-0-54-44-99171,4,15696,1200,6688,-3616,1743,-4527
758,2020-9-6-0-54-44-99282,2,-12384,-9112,-5104,-3376,-3091,-126
759,2020-9-6-0-54-44-99331,1,13724,-572,-9404,-2960,5529,6778
760,2020-9-6-0-54-45-99417,3,-8464,-9724,8528,-3872,-1711,1491
761,2020-9-6-0-54-45-99672,4,15552,5320,1828,-3600,1065,-1953
762,2020-9-6-0-54-45-99783,2,-10720,-9824,-6772,-3376,-1057,457
763,2020-9-6-0-54-45-99834,1,16124,1504,-8052,-2976,-840,-1875
764,2020-9-6-0-54-45-99917,3,-7208,-11360,8768,-3888,934,-543
765,2020-9-6-0-54-45-100176,4,15352,1044,6140,-3600,-560,2
766,2020-9-6-0-54-45-100286,2,-11140,-9336,-6984,-3392,-669,-276
767,2020-9-6-0-54-45-100335,1,15272,1916,-9844,-2992,-392,-3522
768,2020-9-6-0-54-46-100420,3,-8352,-9084,8948,-3856,-151,383
769,2020-9-6-0-54-46-100678,4,16052,2856,6948,-3632,-1270,-2420
770,2020-9-6-0-54-46-100789,2,-11220,-9296,-6776,-3360,-233,173
771,2020-9-6-0-54-46-100839,1,15316,1668,-9056,-2992,-536,511
772,2020-9-6-0-54-46-100922,3,-8232,-9360,9104,-3936,-140,-215
773,2020-9-6-0-54-46-101179,4,15400,1484,5840,-3584,72,-3572
